Step,Throttle Action,Steering Action,Top Throttle Factor 1,Top Throttle Factor 2,Top Throttle Factor 3,Top Steering Factor 1,Top Steering Factor 2,Top Steering Factor 3
36,1.389345645904541,-0.05948923900723457,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
37,1.3876770734786987,-0.06056030094623566,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
38,1.3861198425292969,-0.06137595325708389,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
39,1.3846707344055176,-0.06203191727399826,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
40,1.3833144903182983,-0.06255123019218445,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
41,1.3820362091064453,-0.06293865293264389,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
42,1.380821943283081,-0.06319694221019745,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
43,1.379660964012146,-0.0633302703499794,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
44,1.3785444498062134,-0.06334684044122696,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
45,1.3774648904800415,-0.06325384974479675,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
46,1.3764164447784424,-0.06306135654449463,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
47,1.3753941059112549,-0.06277700513601303,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
48,1.37441086769104,-0.062409766018390656,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
49,1.3735345602035522,-0.06196817755699158,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
