Step,Throttle Action,Steering Action,Top Throttle Factor 1,Top Throttle Factor 2,Top Throttle Factor 3,Top Steering Factor 1,Top Steering Factor 2,Top Steering Factor 3
160,1.2849838733673096,0.02303730696439743,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
161,1.2837440967559814,0.0240478552877903,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
162,1.2825028896331787,0.025060366839170456,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
163,1.2812609672546387,0.026074416935443878,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
164,1.2799714803695679,0.02734183520078659,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
165,1.2790926694869995,0.026400305330753326,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
166,1.2773499488830566,0.030029088258743286,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
167,1.2774730920791626,0.023843914270401,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
168,1.2743220329284668,0.034852534532547,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
169,1.2769269943237305,0.017660435289144516,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
170,1.2709925174713135,0.04132929816842079,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
171,1.2769933938980103,0.008817366324365139,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
172,1.2678444385528564,0.048611100763082504,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
173,1.277022123336792,9.675044566392899e-05,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
174,1.2664880752563477,0.05421525612473488,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
175,1.274656057357788,0.0027666185051202774,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
176,1.2650156021118164,0.05659789964556694,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
177,1.2722111940383911,0.00582463014870882,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
178,1.2635371685028076,0.05886465683579445,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
179,1.269761562347412,0.008900200016796589,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
180,1.262057900428772,0.06113225594162941,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
181,1.2673066854476929,0.011990903876721859,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
182,1.2605783939361572,0.06340473145246506,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
183,1.2648472785949707,0.015092681162059307,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
184,1.2590985298156738,0.06568402796983719,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
185,1.2624465227127075,0.018197041004896164,Goal: Distance,Ego: u (surge velocity),Goal: cos(relative angle),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
186,1.2576276063919067,0.06801977753639221,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
187,1.2600666284561157,0.021337997168302536,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
188,1.2561590671539307,0.07037940621376038,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
189,1.2576473951339722,0.024699777364730835,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
190,1.254582405090332,0.07129722088575363,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
191,1.2550050020217896,0.029203198850154877,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
192,1.2525665760040283,0.06633476912975311,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
193,1.25201416015625,0.03523248806595802,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
194,1.2503576278686523,0.05882878974080086,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
195,1.2488504648208618,0.04200390726327896,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
196,1.2480623722076416,0.050071727484464645,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
197,1.24709153175354,0.04786708205938339,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
198,1.2464182376861572,0.05010918900370598,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
199,1.2457072734832764,0.051569122821092606,Goal: Distance,Goal: cos(relative angle),Ego: u (surge velocity),Ego: u (surge velocity),Goal: sin(relative angle),Goal: Distance
